file,width,height,total_pixels,background_rgb,background_pixels,area_pixels,pixel_size_m,area_m2,area_km2
data/raw/review/maesuai_60_mask.tif,1024,1024,1048576,"75,181,73",1005986,42590,1.0,42590.0,0.04259
data/raw/review/maesuai_61_mask.tif,1024,1024,1048576,"75,181,73",822327,226249,1.0,226249.0,0.226249
data/raw/review/maesuai_62_mask.tif,1024,1024,1048576,"75,181,73",861697,186879,1.0,186879.0,0.186879
data/raw/review/maesuai_63_mask.tif,1024,1024,1048576,"75,181,73",989700,58876,1.0,58876.0,0.058876
data/raw/review/maesuai_64_mask.tif,1024,1024,1048576,"75,181,73",759910,288666,1.0,288666.0,0.288666
data/raw/review/maesuai_65_mask.tif,1024,1024,1048576,"75,181,73",444922,603654,1.0,603654.0,0.603654
data/raw/review/maesuai_66_mask.tif,1024,1024,1048576,"34,97,38",320223,728353,1.0,728353.0,0.728353
data/raw/review/maesuai_67_mask.tif,1024,1024,1048576,"75,181,73",409191,639385,1.0,639385.0,0.639385
data/raw/review/maesuai_68_mask.tif,1024,1024,1048576,"34,97,38",389063,659513,1.0,659513.0,0.659513
data/raw/review/maesuai_69_mask.tif,1024,1024,1048576,"34,97,38",437552,611024,1.0,611024.0,0.611024
data/raw/review/maesuai_6_mask.tif,1024,1024,1048576,"0,69,255",602546,446030,1.0,446030.0,0.44603
data/raw/review/maesuai_70_mask.tif,1024,1024,1048576,"34,97,38",461384,587192,1.0,587192.0,0.587192
data/raw/review/maesuai_71_mask.tif,1024,1024,1048576,"34,97,38",405865,642711,1.0,642711.0,0.642711
data/raw/review/maesuai_72_mask.tif,1024,1024,1048576,"75,181,73",506519,542057,1.0,542057.0,0.542057
data/raw/review/maesuai_73_mask.tif,1024,1024,1048576,"34,97,38",426072,622504,1.0,622504.0,0.622504
data/raw/review/maesuai_74_mask.tif,1024,1024,1048576,"34,97,38",554135,494441,1.0,494441.0,0.494441
data/raw/review/maesuai_75_mask.tif,1024,1024,1048576,"75,181,73",588514,460062,1.0,460062.0,0.460062
data/raw/review/maesuai_76_mask.tif,1024,1024,1048576,"75,181,73",663897,384679,1.0,384679.0,0.384679
data/raw/review/maesuai_77_mask.tif,1024,1024,1048576,"34,97,38",528455,520121,1.0,520121.0,0.520121
data/raw/review/maesuai_78_mask.tif,1024,1024,1048576,"34,97,38",446259,602317,1.0,602317.0,0.602317
data/raw/review/maesuai_79_mask.tif,1024,1024,1048576,"75,181,73",835134,213442,1.0,213442.0,0.213442
data/raw/review/maesuai_7_mask.tif,1024,1024,1048576,"34,97,38",597046,451530,1.0,451530.0,0.45153
data/raw/review/maesuai_80_mask.tif,1024,1024,1048576,"75,181,73",788887,259689,1.0,259689.0,0.259689
data/raw/review/maesuai_81_mask.tif,1024,1024,1048576,"148,148,148",418665,629911,1.0,629911.0,0.629911
data/raw/review/maesuai_82_mask.tif,1024,1024,1048576,"34,97,38",452912,595664,1.0,595664.0,0.595664
data/raw/review/maesuai_83_mask.tif,1024,1024,1048576,"75,181,73",448555,600021,1.0,600021.0,0.600021
data/raw/review/maesuai_84_mask.tif,1024,1024,1048576,"75,181,73",848528,200048,1.0,200048.0,0.200048
data/raw/review/maesuai_8_mask.tif,1024,1024,1048576,"34,97,38",578148,470428,1.0,470428.0,0.470428
data/raw/review/maesuai_9_mask.tif,1024,1024,1048576,"0,69,255",503764,544812,1.0,544812.0,0.544812
