file,width,height,total_pixels,pixel_size_m,area_m2,area_km2
data/images/maesuai_74.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_75.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_76.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_77.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_78.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_79.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_8.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_80.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_81.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_82.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_83.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_84.tif,1024,1024,1048576,1.0,1048576.0,1.048576
data/images/maesuai_9.tif,1024,1024,1048576,1.0,1048576.0,1.048576
